k_folds,classifier,weighted_f1_mean,weighted_f1_std,balanced_accuracy_mean,balanced_accuracy_std,fit_time_mean_seconds,fit_time_std_seconds
2,KNeighborsClassifier (k=3),0.4426059535196524,0.14251800591522648,0.508790348476087,0.024028482738498377,0.0013248920004116371,0.00046848228622656474
2,MLPClassifier,0.5786522864700278,0.005862093658860784,0.4866914317161968,0.04010440733615599,0.28408988750743447,0.016412404474132645
2,RandomForestClassifier,0.5972454986614424,0.03030555621693179,0.5242421023405877,0.035223811481222396,0.12266106650349684,0.006931369681258205
2,SVC,0.5997949291573452,0.02722741515498853,0.5052424759104838,0.011175186815927518,0.003642267496616114,0.00017939510752609247
3,KNeighborsClassifier (k=3),0.46176912059572855,0.0664338903878764,0.4895464508233853,0.031296813536215974,0.0010112483287230134,3.733644745369155e-05
3,MLPClassifier,0.5800096358671182,0.05682529229084466,0.5120925576637422,0.049062926410791324,0.31112172632613994,0.009997090817281932
3,RandomForestClassifier,0.5989489187026044,0.08273068646126065,0.49282623749033155,0.03241605116934059,0.14348721266530143,0.0035579090908007768
3,SVC,0.5993926137062277,0.08119245725575196,0.5060420272301855,0.044978436335039125,0.0055478260037489235,0.0006362372511564772
4,KNeighborsClassifier (k=3),0.4050579064377491,0.06845972400275865,0.4517806091797981,0.07051821588633174,0.001199901249492541,0.00031238191958880943
4,MLPClassifier,0.5806944779561845,0.056243349476499185,0.5133465329913364,0.059420236545526056,0.17515881650251686,0.08582284999185616
4,RandomForestClassifier,0.5828157508574692,0.026929966599165883,0.4907276177987656,0.0740508113921758,0.15568260024519986,0.002533748661654869
4,SVC,0.5685230548243918,0.06220463289245015,0.4868865829459956,0.1001278129279118,0.006152378249680623,7.09981589023074e-05
5,KNeighborsClassifier (k=3),0.4311891537522599,0.032028227405331074,0.46867628832731806,0.023090204511566056,0.0011577664001379163,0.00011181022729579745
5,MLPClassifier,0.5831992611618313,0.09528544698558598,0.5226873645466323,0.12273012508980523,0.3115502696018666,0.10675543691246435
5,RandomForestClassifier,0.5872912197735285,0.05608843552680468,0.48995623666104215,0.07943155870644408,0.1635856244014576,0.004901914060806126
5,SVC,0.5822726462620101,0.03644197766718597,0.4873922867115087,0.057432297140690765,0.007032360401353799,0.0002925190524281681
6,KNeighborsClassifier (k=3),0.4536749686032455,0.0785107399807602,0.49134171770449964,0.08274974598403384,0.0010825398300463955,4.534208097768412e-05
6,MLPClassifier,0.6197069833394825,0.058119172898151744,0.5522953997108132,0.04929832720837481,0.31250732583430363,0.05185448320653608
6,RandomForestClassifier,0.5821341767780307,0.10569985384490312,0.5071081470517561,0.07684104803404987,0.16283379783514343,0.0018069856680010081
6,SVC,0.5673241223447917,0.1196292256162556,0.4921308536205153,0.07839074290926927,0.007318913832326264,0.000578148502772834
7,KNeighborsClassifier (k=3),0.4993404506974298,0.1011404635862262,0.5190086632655312,0.08732634886531121,0.0012928520009154454,0.000316007309278871
7,MLPClassifier,0.6083637740792326,0.11846197081011628,0.5526557513191005,0.0866436272468027,0.3168918884309408,0.0686190223598388
7,RandomForestClassifier,0.5852432769557804,0.11235419780753007,0.5076453879651384,0.08005580573981053,0.1672738397111451,0.004935571744564563
7,SVC,0.5713199431527404,0.10351391289694063,0.4945817176472778,0.06761748353783746,0.00838206871620579,0.00044602635153591987
8,KNeighborsClassifier (k=3),0.4344070220394909,0.04232953547777499,0.46158110687205517,0.07310211232617843,0.0011031653775717132,6.331891885110556e-05
8,MLPClassifier,0.5777962516806149,0.08310050737640984,0.5414770215416767,0.12560228166955464,0.3550183766255941,0.02895661581583812
8,RandomForestClassifier,0.5610595795383541,0.1468274675825015,0.47986873399588914,0.14656091863016937,0.17218262312781007,0.003951259312793437
8,SVC,0.5529923574939786,0.15720266900044352,0.4793878618986378,0.1669496054433197,0.008942488000684534,0.000792013010652855
9,KNeighborsClassifier (k=3),0.4400238232390431,0.1457716978145857,0.47110155396699416,0.09297771867185278,0.0011098270010228993,6.0996488136856846e-05
9,MLPClassifier,0.5949778136369906,0.0822742341443667,0.521515178937801,0.09071261386279181,0.33028574500187663,0.04495991935495509
9,RandomForestClassifier,0.5897138180933422,0.1379395150057729,0.5013127140729678,0.09617435040863626,0.174569072336049,0.0042544524243853556
9,SVC,0.5741288305997476,0.14622122162546342,0.46113953246666484,0.09768799753757583,0.009167006003230603,0.0004495238716375556
10,KNeighborsClassifier (k=3),0.46887269683473737,0.06856935847233882,0.5023499584883966,0.04981708584666597,0.0011565470005734824,0.00015382084974977737
10,MLPClassifier,0.5959560462539308,0.11881915489428427,0.5424134473196339,0.12603235815517524,0.33070958610042,0.040634975134539064
10,RandomForestClassifier,0.6027615626764193,0.10104155361383425,0.49489571380037906,0.09705112013597406,0.17540696779906284,0.005224254151658193
10,SVC,0.5655930030351112,0.11535327234515351,0.46977099403062894,0.09632728397614217,0.009310026901948732,0.00032254786745296895
11,KNeighborsClassifier (k=3),0.3824464777441696,0.11457564364411739,0.4503832056866694,0.11734028645548483,0.0012574114543068308,0.00017342761279505963
11,MLPClassifier,0.6066381319042821,0.11074813835822338,0.5521999541671374,0.1117357817538234,0.3453266067279566,0.04321818381150839
11,RandomForestClassifier,0.5590222917012825,0.10307131275321761,0.46413518361458866,0.08868001694183054,0.18220416181826626,0.012574556765419367
11,SVC,0.5808926281641074,0.11348378464383767,0.4946532213096599,0.09714228605469045,0.009752930090392263,0.0007595104800809635
12,KNeighborsClassifier (k=3),0.43278268959451277,0.13576747176970508,0.4980629317479275,0.1389109504322253,0.001132055916968966,0.00011613585778832113
12,MLPClassifier,0.598391822424499,0.0862570874464943,0.534661854477498,0.10988559385060988,0.34186984741609194,0.06842927767748246
12,RandomForestClassifier,0.580615947835419,0.13557965487841406,0.5055539197509572,0.10513509695785273,0.1797104810818079,0.0023365729927993075
12,SVC,0.5826591853494932,0.132526868560386,0.5082685962801052,0.13242991176953084,0.009847516582037011,0.0004045864308048062
13,KNeighborsClassifier (k=3),0.4521165848963555,0.1426661825844405,0.49628502530508184,0.1330413809960055,0.0013438033862397647,0.0003745525101033042
13,MLPClassifier,0.6150425614957076,0.12664092209491248,0.5339730990979477,0.16615209776888878,0.35408873815434233,0.04106184559751575
13,RandomForestClassifier,0.5903738421804076,0.15648300097534903,0.4964202432949909,0.1562349022164886,0.19316713315492962,0.014110920223415754
13,SVC,0.590489197615365,0.12568944387389502,0.4899037380337017,0.1498360671541351,0.010289017769257324,0.0006792763854952356
14,KNeighborsClassifier (k=3),0.4748054426109843,0.09874103783677175,0.48428771943284327,0.14541889265341754,0.0011913059300111075,0.0002547360749579151
14,MLPClassifier,0.6022598321166249,0.11821023954827574,0.5512444244249861,0.11228081867733647,0.35153731578507824,0.03952533836498442
14,RandomForestClassifier,0.5552396527934154,0.15155288252548774,0.4799461485817081,0.10325114413367525,0.18226506849896396,0.005223604048589101
14,SVC,0.5475001020649287,0.13532402293682308,0.4945579847487189,0.1050387737348654,0.010130097428503047,0.0008122677854756282
15,KNeighborsClassifier (k=3),0.38278574564189644,0.10463798818978465,0.40731926518613826,0.11710407137520917,0.0012539124669274314,0.00019251393114546158
15,MLPClassifier,0.565292358802919,0.11458495789208502,0.532781221473172,0.12573467898136756,0.35533117713736523,0.03697963268803676
15,RandomForestClassifier,0.591827744655586,0.12885880368164937,0.5243661009326643,0.11478620360351996,0.19289161166428434,0.014652167853741328
15,SVC,0.5542133478614829,0.13728338775253743,0.4905187270016992,0.11449889371185738,0.010596522200891438,0.0007984490787553011
16,KNeighborsClassifier (k=3),0.42077641900340246,0.07258320708749644,0.4564661616011268,0.13143432668732047,0.001145945311691321,0.00015408030841594425
16,MLPClassifier,0.5843024885283609,0.1744634381981993,0.5365639657094281,0.16409131402346347,0.333504733749578,0.03708840066756626
16,RandomForestClassifier,0.5436831743569911,0.16880035336120702,0.43692031727732195,0.14482112525973295,0.18270977668726118,0.008232432846164088
16,SVC,0.5570390381087371,0.18197641921950033,0.47080334990624273,0.1936270248792027,0.010024067186350294,0.0005911504579835052
17,KNeighborsClassifier (k=3),0.41801234886971295,0.14034713828099354,0.4467433687668578,0.13692053502082588,0.0011997850584414076,0.00020649414366717022
17,MLPClassifier,0.6051185162584001,0.15446813924995828,0.5464287953637126,0.16770417594284198,0.32022884441282845,0.04232222420406096
17,RandomForestClassifier,0.5947067173073686,0.1679879598616301,0.4804284353828371,0.14152101814198798,0.18080118552846697,0.004430159789686679
17,SVC,0.5817992237551531,0.15497069101400526,0.47507585956990317,0.15324072022806826,0.010423047880655812,0.0007707042681362416
18,KNeighborsClassifier (k=3),0.4392459421826693,0.17685943502625978,0.48246549227700203,0.16622047667835657,0.0011405829435615386,9.902426502950186e-05
18,MLPClassifier,0.6027934969106491,0.16383473046963204,0.5334472964458395,0.16878229950347595,0.34345405244514243,0.046797395755139325
18,RandomForestClassifier,0.6039900738241258,0.19380458962158667,0.53548075894643,0.15699046720484702,0.18004707222199715,0.0029456469078659895
18,SVC,0.589827215251015,0.1968390580964166,0.4936811824833132,0.154247110023731,0.010126011611040061,0.0004952750760103352
19,KNeighborsClassifier (k=3),0.40699380610379743,0.17895462053759736,0.4911040703498337,0.18688050489782385,0.0011482608908983437,0.00019423859131506522
19,MLPClassifier,0.5980860920621641,0.15869392575093955,0.5592044263514445,0.18813064113235922,0.30606323989616757,0.03948262545141898
19,RandomForestClassifier,0.5850511436049003,0.1843567152834393,0.5273677350567525,0.19828232029112072,0.17932526747417318,0.0027246715555385185
19,SVC,0.5680174793709964,0.1981629273296153,0.49438062785891523,0.20703290183491813,0.010195808891838073,0.0004423675448127306
20,KNeighborsClassifier (k=3),0.44050984396655074,0.17602535554199505,0.5231840335781254,0.14016909924756946,0.0011717692010279278,0.00020846654922223036
20,MLPClassifier,0.6117589496160059,0.17715645218643128,0.5312034751501985,0.16410074979255962,0.3219766290996631,0.046035830783396826
20,RandomForestClassifier,0.6017803078023231,0.2089500623063462,0.49570046599522866,0.1953828764076507,0.18257815725155524,0.004347717626161395
20,SVC,0.5959655714015142,0.20483219665018895,0.5107673520341218,0.20531995547403856,0.010361584299243987,0.00048391270372195324
21,KNeighborsClassifier (k=3),0.46847819789713663,0.11729885076900101,0.5627814619590936,0.10454942845719253,0.0011059434272326705,0.00013536759273061026
21,MLPClassifier,0.6201143999129599,0.16795182425861277,0.551642975080475,0.16675754181075025,0.3277298420025978,0.03298133447346862
21,RandomForestClassifier,0.5891392852476597,0.20624109942656602,0.5285480583013478,0.15281263106559068,0.1844472372835125,0.0031968841403217266
21,SVC,0.5737615245324944,0.19672114058204845,0.49531258580600684,0.1554221571407286,0.010351192048152111,0.00043763432309751007
22,KNeighborsClassifier (k=3),0.4618697688186599,0.11764970594563406,0.5384967045729078,0.14796462176711964,0.0010939558646482924,9.477855644743143e-05
22,MLPClassifier,0.6009894983961539,0.15252653179017278,0.5333625079614385,0.13093287031537132,0.3080946412288044,0.027561600491966574
22,RandomForestClassifier,0.5842155144973111,0.17044775070886992,0.5340832073452394,0.14045596195997667,0.18093410159186038,0.002361633598213705
22,SVC,0.5806510820049042,0.160021248348488,0.4981191305723391,0.14429228002829292,0.010285293727065437,0.00044007548818315384
23,KNeighborsClassifier (k=3),0.43670406627567754,0.1761645422511824,0.5061032958426007,0.2061821109612831,0.001143982694686755,0.0001433465878014487
23,MLPClassifier,0.6121945998264087,0.14303876176736152,0.5629037258047953,0.12955836541817722,0.3154137806502505,0.035013961697457505
23,RandomForestClassifier,0.6171513102467898,0.18137649569030145,0.5297738728888461,0.14791913313512528,0.18147926560840974,0.002993082660208469
23,SVC,0.6037763677927247,0.18575414723875644,0.4834088297323591,0.14056198027682806,0.010429027087925731,0.0004272890925141576
24,KNeighborsClassifier (k=3),0.4261999713590046,0.19243125186603624,0.4927081125944763,0.17922649216956185,0.0011142546245537233,0.00013404820499329139
24,MLPClassifier,0.5956345400938542,0.1459302515115199,0.523584843187116,0.11955884775301485,0.3169066935012476,0.0379058416770312
24,RandomForestClassifier,0.6053283412093721,0.19122114117660763,0.5206547555979374,0.17115436714145107,0.18173705258292708,0.0036989651503243695
24,SVC,0.5777814407687524,0.2222142123050047,0.48574313943632125,0.13964089928219944,0.010323034918352883,0.0003820922870069489
25,KNeighborsClassifier (k=3),0.4379572227940047,0.17369205650374733,0.46288892267153137,0.1874990825445943,0.00118911019875668,0.00014456123475193775
25,MLPClassifier,0.6051532061816315,0.17256215705867423,0.54894070301679,0.15871472074043108,0.3356574834790081,0.03441993172690374
