k_folds,classifier,pooled_weighted_f1,pooled_balanced_accuracy,n_oof_predictions
2,KNeighborsClassifier (k=3),0.45650033615649666,0.496472184531886,378
2,MLPClassifier,0.5776280628156861,0.4862957937584803,378
2,RandomForestClassifier,0.6062363060554742,0.512415196743555,378
2,SVC,0.6031335522714832,0.49867706919945726,378
3,KNeighborsClassifier (k=3),0.46389281720605535,0.4948439620081411,378
3,MLPClassifier,0.5795237980639757,0.5083107191316147,378
3,RandomForestClassifier,0.6013374485596708,0.4976255088195387,378
3,SVC,0.605871978420998,0.5081071913161466,378
4,KNeighborsClassifier (k=3),0.4033207330138915,0.44762550881953866,378
4,MLPClassifier,0.5776411235828645,0.5152985074626866,378
4,RandomForestClassifier,0.5799424164760614,0.49514925373134333,378
4,SVC,0.5668105397868086,0.487449118046133,378
5,KNeighborsClassifier (k=3),0.43289806343993537,0.46896200814111266,378
5,MLPClassifier,0.581024470899471,0.5225237449118046,378
5,RandomForestClassifier,0.5889514706719008,0.4896879240162822,378
5,SVC,0.5825493719500379,0.48921302578018994,378
6,KNeighborsClassifier (k=3),0.4565506627545783,0.48388738127544095,378
6,MLPClassifier,0.6185448109116142,0.5577340569877883,378
6,RandomForestClassifier,0.5893372934149633,0.49399592944369064,378
6,SVC,0.5756185211094601,0.47581411126187245,378
7,KNeighborsClassifier (k=3),0.5009563554164492,0.5190976933514247,378
7,MLPClassifier,0.6105213054365597,0.5406037991858887,378
7,RandomForestClassifier,0.5904704807582506,0.49236770691994575,378
7,SVC,0.5744457844564089,0.4723202170963365,378
8,KNeighborsClassifier (k=3),0.4234342523727243,0.4534599728629579,378
8,MLPClassifier,0.5764272455653364,0.5099389416553596,378
8,RandomForestClassifier,0.5536888175058153,0.46309362279511534,378
8,SVC,0.5493888516966282,0.4558683853459973,378
9,KNeighborsClassifier (k=3),0.44967835884403556,0.4954206241519674,378
9,MLPClassifier,0.5940495653774351,0.5398914518317504,378
9,RandomForestClassifier,0.5999622071050643,0.5181139755766622,378
9,SVC,0.5751140771281534,0.47662822252374487,378
10,KNeighborsClassifier (k=3),0.46680364731940666,0.5092944369063772,378
10,MLPClassifier,0.5991558601525617,0.546302578018996,378
10,RandomForestClassifier,0.5973603116460259,0.5057666214382632,378
10,SVC,0.5640716866665189,0.47242198100407057,378
11,KNeighborsClassifier (k=3),0.3823041646669866,0.458921302578019,378
11,MLPClassifier,0.616295473026031,0.5647218453188603,378
11,RandomForestClassifier,0.5652240871539117,0.47859565807327,378
11,SVC,0.579923625333191,0.4916553595658073,378
12,KNeighborsClassifier (k=3),0.44362303868468034,0.49168928086838537,378
12,MLPClassifier,0.6004966793033953,0.5543419267299865,378
12,RandomForestClassifier,0.5914810141132573,0.503663500678426,378
12,SVC,0.5904438560641599,0.5079715061058344,378
13,KNeighborsClassifier (k=3),0.4427049572265553,0.49436906377204887,378
13,MLPClassifier,0.6032386312445089,0.5473541383989144,378
13,RandomForestClassifier,0.5858521979705804,0.4937584803256445,378
13,SVC,0.5840390717962538,0.5023744911804613,378
14,KNeighborsClassifier (k=3),0.45509403786578456,0.489246947082768,378
14,MLPClassifier,0.6066253740744486,0.5457259158751696,378
14,RandomForestClassifier,0.5582271173152885,0.4514586160108548,378
14,SVC,0.5627865191374576,0.46112618724559024,378
15,KNeighborsClassifier (k=3),0.3825666715535052,0.4219810040705563,378
15,MLPClassifier,0.5690295066552612,0.5105156037991859,378
15,RandomForestClassifier,0.6058553791887125,0.5306987788331072,378
15,SVC,0.5649538072374947,0.4716078697421981,378
16,KNeighborsClassifier (k=3),0.3970926193148415,0.44389416553595656,378
16,MLPClassifier,0.5827606251151933,0.5217096336499322,378
16,RandomForestClassifier,0.5316688420136696,0.4417571234735414,378
16,SVC,0.5442710311131363,0.45295115332428765,378
17,KNeighborsClassifier (k=3),0.39784132438771613,0.4610244233378562,378
17,MLPClassifier,0.6037373576350142,0.5411804613297151,378
17,RandomForestClassifier,0.5947407500805558,0.5004070556309362,378
17,SVC,0.579923625333191,0.4916553595658073,378
18,KNeighborsClassifier (k=3),0.43656371512226355,0.49063772048846677,378
18,MLPClassifier,0.5952800873435794,0.5363975576662143,378
18,RandomForestClassifier,0.608029137703464,0.5325644504748983,378
18,SVC,0.5882537719272413,0.4991180461329715,378
19,KNeighborsClassifier (k=3),0.41150384770230247,0.4757123473541384,378
19,MLPClassifier,0.5926529313431684,0.5433853459972863,378
19,RandomForestClassifier,0.5734982195276576,0.48256445047489827,378
19,SVC,0.5477660199882423,0.44969470827679786,378
20,KNeighborsClassifier (k=3),0.4371987794017497,0.4780529172320217,378
20,MLPClassifier,0.5926529313431684,0.5433853459972863,378
20,RandomForestClassifier,0.5725565051407748,0.4833785617367707,378
20,SVC,0.5657616029451132,0.4707937584803256,378
21,KNeighborsClassifier (k=3),0.47123784914482586,0.5058005427408413,378
21,MLPClassifier,0.6020983215916798,0.5419945725915876,378
21,RandomForestClassifier,0.5716766577806646,0.47208276797829035,378
21,SVC,0.5597806073996551,0.4608887381275441,378
22,KNeighborsClassifier (k=3),0.4638308963432116,0.5074287652645861,378
22,MLPClassifier,0.6014623015873015,0.5481682496607869,378
22,RandomForestClassifier,0.5830676110399302,0.49969470827679785,378
22,SVC,0.5657616029451132,0.4707937584803256,378
23,KNeighborsClassifier (k=3),0.4282774838330394,0.4823609226594301,378
23,MLPClassifier,0.5981191297121801,0.540943012211669,378
23,RandomForestClassifier,0.5904915844443057,0.5044776119402985,378
23,SVC,0.575164512756918,0.4809362279511533,378
24,KNeighborsClassifier (k=3),0.41990699039879364,0.48398914518317504,378
24,MLPClassifier,0.5878801266475223,0.5281207598371778,378
24,RandomForestClassifier,0.5892712847296343,0.508785617367707,378
24,SVC,0.569047619047619,0.4753392130257802,378
25,KNeighborsClassifier (k=3),0.4280962397642528,0.4724559023066486,378
25,MLPClassifier,0.5987114428314464,0.52859565807327,378
25,RandomForestClassifier,0.575886194933814,0.48012211668928084,378
25,SVC,0.5530864197530864,0.4561058344640434,378
26,KNeighborsClassifier (k=3),0.43246730719036297,0.49145183175033924,378
26,MLPClassifier,0.5954074650270055,0.5479308005427408,378
26,RandomForestClassifier,0.5965398831842429,0.5065807327001357,378
26,SVC,0.5473256554083622,0.45400271370420625,378
27,KNeighborsClassifier (k=3),0.41579187051847605,0.4649932157394844,378
27,MLPClassifier,0.5986520578513065,0.5436227951153324,378
27,RandomForestClassifier,0.5873155372213753,0.5034260515603799,378
27,SVC,0.5657616029451132,0.4707937584803256,378
28,KNeighborsClassifier (k=3),0.4229206401241103,0.466044776119403,378
28,MLPClassifier,0.5929996281798512,0.5345318860244233,378
28,RandomForestClassifier,0.5820584103069979,0.4970149253731343,378
28,SVC,0.5537891423295931,0.455291723202171,378
29,KNeighborsClassifier (k=3),0.4229206401241103,0.466044776119403,378
29,MLPClassifier,0.6032391276293716,0.558887381275441,378
29,RandomForestClassifier,0.5861755727381047,0.4972523744911804,378
29,SVC,0.5767195767195767,0.4871099050203528,378
30,KNeighborsClassifier (k=3),0.4188862791091814,0.46685888738127546,378
30,MLPClassifier,0.5792299917048408,0.523337856173677,378
30,RandomForestClassifier,0.5764177599280553,0.4836160108548168,378
30,SVC,0.5504377851769638,0.4507462686567164,378
31,KNeighborsClassifier (k=3),0.4238416620761499,0.46336499321573954,378
31,MLPClassifier,0.6019485842965809,0.5508480325644505,378
31,RandomForestClassifier,0.5757403808371762,0.48792401628222526,378
31,SVC,0.5657616029451132,0.4707937584803256,378
32,KNeighborsClassifier (k=3),0.39462756384669784,0.4591587516960651,378
32,MLPClassifier,0.6175009672074856,0.5612279511533242,378
32,RandomForestClassifier,0.5799424164760614,0.49514925373134333,378
32,SVC,0.556725264590433,0.46414518317503395,378
33,KNeighborsClassifier (k=3),0.40850924837898817,0.45403663500678426,378
33,MLPClassifier,0.600403124212648,0.5428086838534599,378
33,RandomForestClassifier,0.5894348967657238,0.505291723202171,378
33,SVC,0.5431873779177169,0.45027137042062415,378
34,KNeighborsClassifier (k=3),0.42079933040385015,0.46149932157394846,378
34,MLPClassifier,0.6055261610817166,0.5492198100407055,378
34,RandomForestClassifier,0.5809388791844933,0.49782903663500677,378
34,SVC,0.5620023447738804,0.4705563093622795,378
35,KNeighborsClassifier (k=3),0.4238416620761499,0.46336499321573954,378
35,MLPClassifier,0.6117675260473316,0.5521370420624152,378
35,RandomForestClassifier,0.5718455096923466,0.47639077340569874,378
35,SVC,0.5591329849364244,0.4617028493894165,378
36,KNeighborsClassifier (k=3),0.42098483166942297,0.47140434192673,378
36,MLPClassifier,0.6185971358414958,0.5665875169606512,378
36,RandomForestClassifier,0.5797530864197531,0.49864314789687925,378
36,SVC,0.5702592486126473,0.4780189959294437,378
37,KNeighborsClassifier (k=3),0.4043636369033473,0.45485074626865674,378
37,MLPClassifier,0.6169096780202147,0.5585481682496608,378
37,RandomForestClassifier,0.5714285714285714,0.4806987788331072,378
37,SVC,0.5546591575247377,0.46227951153324287,378
38,KNeighborsClassifier (k=3),0.413711818291971,0.4703527815468114,378
38,MLPClassifier,0.6123667520022169,0.5548168249660788,378
38,RandomForestClassifier,0.5944721886026159,0.5047150610583446,378
38,SVC,0.5444492889792292,0.4451492537313433,378
39,KNeighborsClassifier (k=3),0.3969605312841833,0.45379918588873813,378
39,MLPClassifier,0.5927708116488853,0.5256784260515603,378
39,RandomForestClassifier,0.5873015873015873,0.499932157394844,378
39,SVC,0.5535037275554043,0.4595997286295794,378
40,KNeighborsClassifier (k=3),0.4262124874369772,0.4877204884667571,378
40,MLPClassifier,0.6009472919470724,0.5454884667571235,378
40,RandomForestClassifier,0.6009700176366842,0.5138059701492538,378
40,SVC,0.5587877071109617,0.46601085481682497,378
41,KNeighborsClassifier (k=3),0.4033207330138915,0.44762550881953866,378
41,MLPClassifier,0.5901570504745108,0.5299864314789687,378
41,RandomForestClassifier,0.5866232532899199,0.49294436906377204,378
41,SVC,0.5702592486126473,0.4780189959294437,378
42,KNeighborsClassifier (k=3),0.4212740443090703,0.4489145183175034,378
42,MLPClassifier,0.6236996107641599,0.5641451831750339,378
42,RandomForestClassifier,0.5647369447276515,0.46299185888738126,378
42,SVC,0.5563940320026147,0.45634328358208953,378
43,KNeighborsClassifier (k=3),0.41160011762989795,0.45590230664857534,378
43,MLPClassifier,0.6169096780202147,0.5585481682496608,378
43,RandomForestClassifier,0.5838004040921584,0.49189280868385343,378
43,SVC,0.5776280628156861,0.4862957937584803,378
44,KNeighborsClassifier (k=3),0.4358937138306766,0.4708276797829037,378
44,MLPClassifier,0.6059879920657109,0.5430461329715061,378
44,RandomForestClassifier,0.5808701313629522,0.4908412483039349,378
44,SVC,0.5738673248043221,0.4782564450474898,378
45,KNeighborsClassifier (k=3),0.4136977637440847,0.46044776119402986,378
45,MLPClassifier,0.6072325367969482,0.548405698778833,378
45,RandomForestClassifier,0.5852076048887485,0.4980664857530529,378
45,SVC,0.5723152082599087,0.4798846675712347,378
46,KNeighborsClassifier (k=3),0.40850924837898817,0.45403663500678426,378
46,MLPClassifier,0.6133900110590684,0.5513229308005427,378
46,RandomForestClassifier,0.6030581523854103,0.5156716417910447,378
46,SVC,0.5685071653678985,0.4718453188602442,378
47,KNeighborsClassifier (k=3),0.41256944084382535,0.4532225237449118,378
47,MLPClassifier,0.6016724088429515,0.5331411126187245,378
47,RandomForestClassifier,0.602728840824079,0.5121777476255088,378
47,SVC,0.5644768275432556,0.4681139755766622,378
48,KNeighborsClassifier (k=3),0.3991391712740028,0.43853459972862957,378
48,MLPClassifier,0.6201256003616717,0.5569199457259159,378
48,RandomForestClassifier,0.5968216041496146,0.5135685210312076,378
48,SVC,0.5764177599280553,0.4836160108548168,378
49,KNeighborsClassifier (k=3),0.40850924837898817,0.45403663500678426,378
49,MLPClassifier,0.611285955823771,0.5432835820895523,378
49,RandomForestClassifier,0.5977300738939393,0.5092605156037993,378
49,SVC,0.5644768275432556,0.4681139755766622,378
50,KNeighborsClassifier (k=3),0.4033207330138915,0.44762550881953866,378
50,MLPClassifier,0.6140298938003386,0.5540027137042063,378
50,RandomForestClassifier,0.6080973700021318,0.5185888738127544,378
50,SVC,0.5664935785635009,0.4699796472184532,378
51,KNeighborsClassifier (k=3),0.39807746677975686,0.4511194029850746,378
51,MLPClassifier,0.617191665641278,0.5523744911804613,378
51,RandomForestClassifier,0.6018837257910742,0.5129918588873812,378
51,SVC,0.5745297214275317,0.4774423337856174,378
52,KNeighborsClassifier (k=3),0.4136977637440847,0.46044776119402986,378
52,MLPClassifier,0.6117675260473316,0.5521370420624152,378
52,RandomForestClassifier,0.5998080808578446,0.5111261872455902,378
52,SVC,0.5685071653678985,0.4718453188602442,378
53,KNeighborsClassifier (k=3),0.40949884073479575,0.4513568521031207,378
53,MLPClassifier,0.6140298938003386,0.5540027137042063,378
53,RandomForestClassifier,0.5998080808578446,0.5111261872455902,378
53,SVC,0.570517665755761,0.4737109905020353,378
54,KNeighborsClassifier (k=3),0.41256944084382535,0.4532225237449118,378
54,MLPClassifier,0.6185448109116142,0.5577340569877883,378
54,RandomForestClassifier,0.6039570964654205,0.5148575305291723,378
54,SVC,0.5725251581116105,0.4755766621438263,378
