fold,feature_index,feature_name,feature_family,normalized_gain
1,0,MFCC 0 — mean,MFCC,0.0014961969608926502
1,1,MFCC 1 — mean,MFCC,0.0015700800126219857
1,2,MFCC 2 — mean,MFCC,0.018384572257468024
1,3,MFCC 3 — mean,MFCC,0.010160319383789454
1,4,MFCC 4 — mean,MFCC,0.0185333965443201
1,5,MFCC 5 — mean,MFCC,0.005012871898357317
1,6,MFCC 6 — mean,MFCC,0.0016845043465086227
1,7,MFCC 7 — mean,MFCC,0.007560697797069798
1,8,MFCC 8 — mean,MFCC,0.0
1,9,MFCC 9 — mean,MFCC,0.0
1,10,MFCC 10 — mean,MFCC,0.0
1,11,MFCC 11 — mean,MFCC,0.001633460151248743
1,12,MFCC 12 — mean,MFCC,0.0062158288461419305
1,13,MFCC 0 — SD,MFCC,0.02295837052587688
1,14,MFCC 1 — SD,MFCC,0.004585758264073433
1,15,MFCC 2 — SD,MFCC,0.01512924687468001
1,16,MFCC 3 — SD,MFCC,0.013658862662880824
1,17,MFCC 4 — SD,MFCC,0.008910351927391588
1,18,MFCC 5 — SD,MFCC,0.003915355060486185
1,19,MFCC 6 — SD,MFCC,0.0
1,20,MFCC 7 — SD,MFCC,0.02507783401578845
1,21,MFCC 8 — SD,MFCC,0.005267672366212837
1,22,MFCC 9 — SD,MFCC,0.0015495724077202685
1,23,MFCC 10 — SD,MFCC,0.004190355234625402
1,24,MFCC 11 — SD,MFCC,0.004408037141621848
1,25,MFCC 12 — SD,MFCC,0.025850847990637103
1,26,MFCC Δ 0 — mean,MFCC Δ,0.0036352481179867096
1,27,MFCC Δ 1 — mean,MFCC Δ,0.004629470204057016
1,28,MFCC Δ 2 — mean,MFCC Δ,0.027758163695530524
1,29,MFCC Δ 3 — mean,MFCC Δ,0.0036477549222693408
1,30,MFCC Δ 4 — mean,MFCC Δ,0.0047416558975557025
1,31,MFCC Δ 5 — mean,MFCC Δ,0.003705253311445845
1,32,MFCC Δ 6 — mean,MFCC Δ,0.012188820978227752
1,33,MFCC Δ 7 — mean,MFCC Δ,0.007905832551881653
1,34,MFCC Δ 8 — mean,MFCC Δ,0.010705179140494145
1,35,MFCC Δ 9 — mean,MFCC Δ,0.04030168388171752
1,36,MFCC Δ 10 — mean,MFCC Δ,0.016737935817060155
1,37,MFCC Δ 11 — mean,MFCC Δ,0.016365263060828753
1,38,MFCC Δ 12 — mean,MFCC Δ,0.0017265349238121976
1,39,MFCC Δ 0 — SD,MFCC Δ,0.004001900879093679
1,40,MFCC Δ 1 — SD,MFCC Δ,0.0
1,41,MFCC Δ 2 — SD,MFCC Δ,0.0021397677528750578
1,42,MFCC Δ 3 — SD,MFCC Δ,0.0020841422570358915
1,43,MFCC Δ 4 — SD,MFCC Δ,0.001474406624041317
1,44,MFCC Δ 5 — SD,MFCC Δ,0.004487411633655315
1,45,MFCC Δ 6 — SD,MFCC Δ,0.011936016616844418
1,46,MFCC Δ 7 — SD,MFCC Δ,0.0
1,47,MFCC Δ 8 — SD,MFCC Δ,0.02115800704329041
1,48,MFCC Δ 9 — SD,MFCC Δ,0.0
1,49,MFCC Δ 10 — SD,MFCC Δ,0.0
1,50,MFCC Δ 11 — SD,MFCC Δ,0.00134622765088873
1,51,MFCC Δ 12 — SD,MFCC Δ,0.004770129674548411
1,52,MFCC Δ² 0 — mean,MFCC Δ²,0.001692785128172691
1,53,MFCC Δ² 1 — mean,MFCC Δ²,0.011204857526495944
1,54,MFCC Δ² 2 — mean,MFCC Δ²,0.008351118915583784
1,55,MFCC Δ² 3 — mean,MFCC Δ²,0.0025406967169362134
1,56,MFCC Δ² 4 — mean,MFCC Δ²,0.0
1,57,MFCC Δ² 5 — mean,MFCC Δ²,0.0
1,58,MFCC Δ² 6 — mean,MFCC Δ²,0.002636975299443932
1,59,MFCC Δ² 7 — mean,MFCC Δ²,0.0037304250301122533
1,60,MFCC Δ² 8 — mean,MFCC Δ²,0.0035095151537333376
1,61,MFCC Δ² 9 — mean,MFCC Δ²,0.01320842335944764
1,62,MFCC Δ² 10 — mean,MFCC Δ²,0.026812836017377103
1,63,MFCC Δ² 11 — mean,MFCC Δ²,0.023661094494333772
1,64,MFCC Δ² 12 — mean,MFCC Δ²,0.009301128155985045
1,65,MFCC Δ² 0 — SD,MFCC Δ²,0.005794054984577888
1,66,MFCC Δ² 1 — SD,MFCC Δ²,0.013731251856014447
1,67,MFCC Δ² 2 — SD,MFCC Δ²,0.0027333593781651484
1,68,MFCC Δ² 3 — SD,MFCC Δ²,0.0036691529366880355
1,69,MFCC Δ² 4 — SD,MFCC Δ²,0.0
1,70,MFCC Δ² 5 — SD,MFCC Δ²,0.0
1,71,MFCC Δ² 6 — SD,MFCC Δ²,0.004427791777366158
1,72,MFCC Δ² 7 — SD,MFCC Δ²,0.0
1,73,MFCC Δ² 8 — SD,MFCC Δ²,0.0064191374980352624
1,74,MFCC Δ² 9 — SD,MFCC Δ²,0.008868384835722852
1,75,MFCC Δ² 10 — SD,MFCC Δ²,0.0
1,76,MFCC Δ² 11 — SD,MFCC Δ²,0.0
1,77,MFCC Δ² 12 — SD,MFCC Δ²,0.007019016348680156
1,78,Spectral centroid — mean,Spectral centroid,0.002419525591492462
1,79,Spectral centroid — SD,Spectral centroid,0.015147389002143198
1,80,Spectral bandwidth — mean,Spectral bandwidth,0.0037818934919508435
1,81,Spectral bandwidth — SD,Spectral bandwidth,0.02224579165413772
1,82,Spectral flatness — mean,Spectral flatness,0.002746248706886035
1,83,Spectral flatness — SD,Spectral flatness,0.008956134062791188
1,84,Spectral contrast band 0 — mean,Spectral contrast,0.004670569166579563
1,85,Spectral contrast band 1 — mean,Spectral contrast,0.009380691091636514
1,86,Spectral contrast band 2 — mean,Spectral contrast,0.014967854311196979
