feature_family,total_mean_gain,number_of_features,relative_importance,mean_gain_per_feature
MFCC,0.206168923949602,26,0.20616892394960204,0.007929573998061617
MFCC Δ,0.18892934910071174,26,0.18892934910071177,0.007266513426950451
MFCC Δ²,0.17047398797677835,26,0.17047398797677837,0.006556691845260706
Tonnetz,0.14835170734276762,12,0.14835170734276765,0.012362642278563969
Spectral contrast,0.13870347362408916,14,0.1387034736240892,0.009907390973149226
Tempogram ratio,0.0969376534196406,26,0.09693765341964061,0.0037283712853707924
Spectral bandwidth,0.012539326361903516,2,0.012539326361903518,0.006269663180951758
Spectral roll-off,0.011568652584482364,2,0.011568652584482366,0.005784326292241182
Spectral centroid,0.010482291991439725,2,0.010482291991439727,0.0052411459957198625
Zero-crossing rate,0.008178169638433423,2,0.008178169638433425,0.004089084819216712
Spectral flatness,0.007666464010151504,2,0.007666464010151505,0.003833232005075752
