feature_index,feature_name,feature_family,importance_mean,importance_std
92,Spectral contrast band 1 — SD,Spectral contrast,0.04558766755629936,0.0284030185951519
35,MFCC Δ 9 — mean,MFCC Δ,0.035726686010346086,0.013880710421871539
101,Tonnetz dimension 1 — mean,Tonnetz,0.022789873151061207,0.012395171766376183
2,MFCC 2 — mean,MFCC,0.021449678118659214,0.01746896771253003
62,MFCC Δ² 10 — mean,MFCC Δ²,0.02123034935179327,0.010446194576007574
3,MFCC 3 — mean,MFCC,0.02089747206012838,0.011934875340988955
13,MFCC 0 — SD,MFCC,0.02055960133246342,0.006998041887960219
37,MFCC Δ 11 — mean,MFCC Δ,0.018251408495934374,0.0060189100386735675
110,Tonnetz dimension 4 — SD,Tonnetz,0.01812147455995728,0.007718569570331941
111,Tonnetz dimension 5 — SD,Tonnetz,0.017963535349973747,0.009002287872494352
20,MFCC 7 — SD,MFCC,0.017575067177972515,0.005490715188172736
25,MFCC 12 — SD,MFCC,0.017165075179406616,0.0132568769597824
104,Tonnetz dimension 4 — mean,Tonnetz,0.015795102567716737,0.008230382681700637
32,MFCC Δ 6 — mean,MFCC Δ,0.015698647579757134,0.010170966681769733
54,MFCC Δ² 2 — mean,MFCC Δ²,0.015571857210136097,0.006925072213690946
96,Spectral contrast band 5 — SD,Spectral contrast,0.01479348621259445,0.006129506027982051
63,MFCC Δ² 11 — mean,MFCC Δ²,0.014759662281069513,0.007002205029507666
108,Tonnetz dimension 2 — SD,Tonnetz,0.013617768999182595,0.017733716212419745
97,Spectral contrast band 6 — SD,Spectral contrast,0.013445442690444984,0.010328337850094828
5,MFCC 5 — mean,MFCC,0.013204206470758942,0.01406715928095398
36,MFCC Δ 10 — mean,MFCC Δ,0.012675833988617912,0.0036238295480655975
61,MFCC Δ² 9 — mean,MFCC Δ²,0.012194265460109734,0.007137015690292995
4,MFCC 4 — mean,MFCC,0.012021056527040688,0.009727803638605141
81,Spectral bandwidth — SD,Spectral bandwidth,0.011782947663513347,0.008699366878982132
